section,category,metric,value,data_type
metadata,direct,timestamp,20250805_165121,str
metadata,direct,analysis_date,2025-08-05T16:54:20.503530,str
metadata,direct,notebook_version,1.0,str
metadata,direct,analysis_type,options_pricing_monte_carlo,str
performance_metrics,direct,avg_daily_dollar_volume,34584870860.330956,float64
performance_metrics,direct,max_stock_dollar_position,345848708.6033096,float64
performance_metrics,direct,estimated_strategy_capacity,345848708.6033096,float64
performance_metrics,direct,liquid_options_contracts,535313.0,float64
performance_metrics,direct,liquid_strikes_count,341,int
performance_metrics,direct,avg_option_spread_pct,11.622801149289035,float64
performance_metrics,direct,avg_bid_ask_spread_pct,11.622801149289035,float64
performance_metrics,direct,current_price,306.64459228515625,float64
performance_metrics,direct,avg_daily_volume,107065338.38333334,float64
monte_carlo_results,option_parameters,S0,100,int
monte_carlo_results,option_parameters,K,105,int
monte_carlo_results,option_parameters,T,1.0,float
monte_carlo_results,option_parameters,r,0.05,float
monte_carlo_results,option_parameters,sigma,0.2,float
monte_carlo_results,direct,engine_ready,True,bool
monte_carlo_results,direct,stock_price,100,int
monte_carlo_results,direct,strike_price,105,int
monte_carlo_results,direct,time_to_expiry,0.25,float
monte_carlo_results,direct,risk_free_rate,0.05,float
monte_carlo_results,direct,volatility,0.2,float
monte_carlo_results,direct,true_volatility,0.2,float
monte_carlo_results,direct,model_volatility,0.18,float
monte_carlo_simulation,all_performance_metrics,avg_daily_dollar_volume,34584870860.330956,float64
monte_carlo_simulation,all_performance_metrics,max_stock_dollar_position,345848708.6033096,float64
monte_carlo_simulation,all_performance_metrics,estimated_strategy_capacity,345848708.6033096,float64
monte_carlo_simulation,all_performance_metrics,liquid_options_contracts,535313.0,float64
monte_carlo_simulation,all_performance_metrics,liquid_strikes_count,341,int
monte_carlo_simulation,all_performance_metrics,avg_option_spread_pct,11.622801149289035,float64
monte_carlo_simulation,all_performance_metrics,avg_bid_ask_spread_pct,11.622801149289035,float64
monte_carlo_simulation,all_performance_metrics,current_price,306.64459228515625,float64
monte_carlo_simulation,all_performance_metrics,avg_daily_volume,107065338.38333334,float64
monte_carlo_simulation,live_benchmark,peak_sims_per_second,59299670,int
monte_carlo_simulation,live_benchmark,peak_performance_at_simulations,500000,int
monte_carlo_simulation,live_benchmark,fastest_time_seconds,0.008431750000454485,float
monte_carlo_simulation,live_benchmark,benchmark_results,"[{'simulations': 10000, 'time_seconds': 1.060776041005738, 'sims_per_second': 9427, 'mc_price': 8.100938272667575}, {'simulations': 100000, 'time_seconds': 0.0019978329655714333, 'sims_per_second': 50054234, 'mc_price': 8.03399090265241}, {'simulations': 500000, 'time_seconds': 0.008431750000454485, 'sims_per_second': 59299670, 'mc_price': 8.013632660538178}]",list
monte_carlo_simulation,live_benchmark,benchmark_timestamp,20250805_165121,str
hedging_analysis,performance_stats,mean_pnl,0.0038310708195884494,float64
hedging_analysis,performance_stats,std_pnl,0.22284474432971244,float64
hedging_analysis,performance_stats,var_95,-0.3500188050530298,float64
hedging_analysis,performance_stats,var_99,-0.5870296411713067,float64
hedging_analysis,performance_stats,max_loss,-1.1097184200264962,float64
hedging_analysis,performance_stats,max_gain,0.8070551380864472,float64
hedging_analysis,pnl_statistics,mean,0.0038310708195884494,float
hedging_analysis,pnl_statistics,std,0.22284474432971244,float
hedging_analysis,pnl_statistics,min,-1.1097184200264962,float
hedging_analysis,pnl_statistics,max,0.8070551380864472,float
hedging_analysis,pnl_statistics,percentile_5,-0.3500188050530298,float
hedging_analysis,pnl_statistics,percentile_25,-0.11658679281274967,float
hedging_analysis,pnl_statistics,percentile_50,0.0053406595219055875,float
hedging_analysis,pnl_statistics,percentile_75,0.12270105581116336,float
hedging_analysis,pnl_statistics,percentile_95,0.36476373615354607,float
hedging_analysis,pnl_statistics,total_simulations,1000,int
hedging_analysis,pnl_statistics,profitable_scenarios,511,int
hedging_analysis,pnl_statistics,loss_scenarios,489,int
regime_analysis,direct,analysis_ticker,SPY,str
regime_analysis,direct,regimes_identified,3,int
regime_analysis,direct,volatility_range,39.9%,str
regime_analysis,direct,most_common_regime,High Vol,str
regime_analysis,direct,most_common_regime_frequency,49.0%,str
regime_analysis,direct,highest_risk_regime,Medium Vol,str
regime_analysis,direct,highest_risk_vol,50.8%,str
regime_analysis,direct,regime_transitions_per_year,3906.0,float
regime_analysis,direct,avg_regime_persistence_days,16.033333333333335,float64
regime_analysis,direct,max_stress_loss,-13000.0,float
regime_analysis,direct,risk_diversification_available,True,bool
regime_analysis,direct,model_complexity_required,High,str
arbitrage_analysis,direct,opportunities_found,0,int
liquidity_analysis,SPY,avg_daily_dollar_volume,43435126450.869354,float
liquidity_analysis,SPY,max_stock_dollar_position,434351264.5086936,float
liquidity_analysis,SPY,estimated_strategy_capacity,434351264.5086936,float
liquidity_analysis,SPY,liquid_options_contracts,3081917.0,float
liquidity_analysis,SPY,liquid_strikes_count,251,int
liquidity_analysis,SPY,avg_option_spread_pct,16.635909683455075,float
liquidity_analysis,SPY,avg_bid_ask_spread_pct,16.635909683455075,float
liquidity_analysis,SPY,current_price,627.3300170898438,float
liquidity_analysis,SPY,avg_daily_volume,71493901.2,float
liquidity_analysis,QQQ,avg_daily_dollar_volume,24749152329.271484,float
liquidity_analysis,QQQ,max_stock_dollar_position,247491523.29271483,float
liquidity_analysis,QQQ,estimated_strategy_capacity,247491523.29271483,float
liquidity_analysis,QQQ,liquid_options_contracts,1620140.0,float
liquidity_analysis,QQQ,liquid_strikes_count,259,int
liquidity_analysis,QQQ,avg_option_spread_pct,15.899136429857613,float
liquidity_analysis,QQQ,avg_bid_ask_spread_pct,15.899136429857613,float
liquidity_analysis,QQQ,current_price,560.0499877929688,float
liquidity_analysis,QQQ,avg_daily_volume,45988079.7,float
